repeat,seed,synth,downstream,regime,descriptor,r2,rmse
1,1,KDE,GBDT,TSTR,A_hops_woody,0.02733999490737915,0.38684577011836996
1,1,KDE,GBDT,TSTR,A_esters_all,-0.08510816097259521,0.6984807387244688
1,1,KDE,GBDT,TSTR,A_esters_ethac,-0.16215336322784424,0.533798835181991
1,1,KDE,GBDT,TSTR,A_esters_isoaa,-0.04101836681365967,0.5483318270524428
1,1,KDE,GBDT,TSTR,A_esters_flower,-0.02969646453857422,0.4389157888395127
1,1,KDE,GBDT,TSTR,A_esters_fruity,-0.033609628677368164,0.5840103500866498
1,1,KDE,GBDT,TSTR,F_malt_all,-0.09422576427459717,0.8237326757088285
1,1,KDE,GBDT,TSTR,F_malt_grain,0.017798125743865967,0.4603612012667358
1,1,KDE,GBDT,TSTR,F_malt_bread,-0.05315828323364258,0.43573628570786654
1,1,KDE,GBDT,TSTR,F_malt_cara,-0.11441969871520996,0.5748711597142658
1,1,KDE,GBDT,TSTR,F_malt_burn,-0.028125405311584473,0.8858057438802629
1,1,KDE,GBDT,TSTR,F_hops_all,0.012868702411651611,0.628640918559721
1,1,KDE,GBDT,TSTR,F_hops_citrus,-0.05280005931854248,0.4170633116911003
1,1,KDE,GBDT,TSTR,F_hops_tropical,-0.12175953388214111,0.3869252472386905
1,1,KDE,GBDT,TSTR,F_hops_noble,-0.006993770599365234,0.5122082822073469
1,1,KDE,GBDT,TSTR,F_hops_woody,-0.06742346286773682,0.5447648071563022
1,1,KDE,GBDT,TSTR,F_esters_all,-0.09980261325836182,0.6338807261619638
1,1,KDE,GBDT,TSTR,F_esters_ethac,0.02967524528503418,0.45123904830450146
1,1,KDE,GBDT,TSTR,F_esters_isoaa,-0.029282569885253906,0.633339344694654
1,1,KDE,GBDT,TSTR,F_esters_flower,-0.18141257762908936,0.40196966168759096
1,1,KDE,GBDT,TSTR,F_esters_fruity,-0.01504814624786377,0.5549207922113836
1,1,KDE,GBDT,TSTR,acidity,-0.037517666816711426,0.9652476218351616
1,1,KDE,GBDT,TSTR,bitternes,0.015313327312469482,0.6875853702253162
1,1,KDE,GBDT,TSTR,sweetness,-0.09776544570922852,0.680888682099612
1,1,KDE,GBDT,TSTR,X4vg,-0.00045621395111083984,0.8303603825601173
1,1,KDE,GBDT,TSTR,diacetyl,-0.12155866622924805,0.6662950796439443
1,1,KDE,GBDT,TSTR,dms,-0.026595473289489746,0.48252084620315316
1,1,KDE,GBDT,TSTR,metallic,-0.08247268199920654,0.5357591615909073
1,1,KDE,GBDT,TSTR,stale_hops,-0.08166682720184326,0.411582899753898
1,1,KDE,GBDT,TSTR,t2n,-0.04687297344207764,0.4490131405201032
1,1,KDE,GBDT,TSTR,orange,-0.005350708961486816,0.8823599203852844
1,1,KDE,GBDT,TSTR,coriander,0.030114948749542236,0.33843854898728726
1,1,KDE,GBDT,TSTR,clove,-0.2583690881729126,0.40684802714536744
1,1,KDE,GBDT,TSTR,lactic,-0.010495662689208984,0.825025191066964
1,1,KDE,GBDT,TSTR,acetic,-0.11714160442352295,0.7143572209532937
1,1,KDE,GBDT,TSTR,barnyard,-0.09683632850646973,0.41673201008866156
1,1,KDE,GBDT,TSTR,alcohol,-0.08607006072998047,0.7235356933657661
1,1,KDE,GBDT,TSTR,aftertaste,-0.022189617156982422,0.6627722603589664
1,1,KDE,GBDT,TSTR,body,-0.05958390235900879,0.6391688055585396
1,1,KDE,GBDT,TSTR,co2,-0.12416768074035645,0.6612377900436741
1,1,KDE,GBDT,TSTR,overall,0.021065056324005127,0.5629014860610334
1,1,KDE,GBDT,AUG,A_malt_all,0.18932396173477173,0.7939620913601211
1,1,KDE,GBDT,AUG,A_malt_grain,-0.050933241844177246,0.5649068520149138
1,1,KDE,GBDT,AUG,A_malt_bread,0.020880699157714844,0.46827979346307513
1,1,KDE,GBDT,AUG,A_malt_cara,0.12487000226974487,0.6529566232943161
1,1,KDE,GBDT,AUG,A_malt_burn,0.042742788791656494,0.9072295846878483
1,1,KDE,GBDT,AUG,A_hops_all,0.19549936056137085,0.5268619455641192
1,1,KDE,GBDT,AUG,A_hops_citrus,0.029914259910583496,0.5326992350808236
1,1,KDE,GBDT,AUG,A_hops_tropical,-0.11469781398773193,0.40740823695470824
1,1,KDE,GBDT,AUG,A_hops_noble,0.03873223066329956,0.5089953218631069
1,1,KDE,GBDT,AUG,A_hops_woody,0.14959228038787842,0.3617186626656676
1,1,KDE,GBDT,AUG,A_esters_all,-0.031693100929260254,0.6810722495402796
1,1,KDE,GBDT,AUG,A_esters_ethac,-0.05123186111450195,0.507685953658474
1,1,KDE,GBDT,AUG,A_esters_isoaa,-0.05723452568054199,0.5525860536886412
1,1,KDE,GBDT,AUG,A_esters_flower,0.08833980560302734,0.41299336435469164
1,1,KDE,GBDT,AUG,A_esters_fruity,-0.01609349250793457,0.5790407042665433
1,1,KDE,GBDT,AUG,F_malt_all,0.26229894161224365,0.6763524194042018
1,1,KDE,GBDT,AUG,F_malt_grain,0.008945584297180176,0.4624311524775421
1,1,KDE,GBDT,AUG,F_malt_bread,-0.010340332984924316,0.4267865657940412
1,1,KDE,GBDT,AUG,F_malt_cara,0.10984325408935547,0.5137825618179807
1,1,KDE,GBDT,AUG,F_malt_burn,0.2725033760070801,0.7451281065534529
1,1,KDE,GBDT,AUG,F_hops_all,0.45113271474838257,0.46875815384448777
1,1,KDE,GBDT,AUG,F_hops_citrus,0.03167086839675903,0.3999820764817504
1,1,KDE,GBDT,AUG,F_hops_tropical,-0.10866224765777588,0.38465980585041304
1,1,KDE,GBDT,AUG,F_hops_noble,0.121387779712677,0.47844479094966624
1,1,KDE,GBDT,AUG,F_hops_woody,0.05140960216522217,0.5135468305388756
1,1,KDE,GBDT,AUG,F_esters_all,0.0630565881729126,0.5850686816302672
1,1,KDE,GBDT,AUG,F_esters_ethac,-0.03629446029663086,0.46632608910140316
1,1,KDE,GBDT,AUG,F_esters_isoaa,-0.08779597282409668,0.6510927917751715
1,1,KDE,GBDT,AUG,F_esters_flower,-0.0032480955123901367,0.3704218956364062
1,1,KDE,GBDT,AUG,F_esters_fruity,-0.022110581398010254,0.5568479185444473
1,1,KDE,GBDT,AUG,acidity,0.4941001534461975,0.6740207562632305
1,1,KDE,GBDT,AUG,bitternes,0.6049579977989197,0.435511087221724
1,1,KDE,GBDT,AUG,sweetness,0.0785638689994812,0.6238123099293642
1,1,KDE,GBDT,AUG,X4vg,0.10864496231079102,0.7837777633860171
1,1,KDE,GBDT,AUG,diacetyl,0.00228041410446167,0.6284342588078377
1,1,KDE,GBDT,AUG,dms,-0.000652313232421875,0.4763849271542212
1,1,KDE,GBDT,AUG,metallic,-0.006971955299377441,0.5167372873197733
1,1,KDE,GBDT,AUG,stale_hops,0.05627715587615967,0.38444373904024454
1,1,KDE,GBDT,AUG,t2n,0.17631244659423828,0.3982844152133979
1,1,KDE,GBDT,AUG,orange,0.11552739143371582,0.8276165534969636
1,1,KDE,GBDT,AUG,coriander,0.21817100048065186,0.30386143969381
1,1,KDE,GBDT,AUG,clove,-0.08046579360961914,0.3769933649435442
1,1,KDE,GBDT,AUG,lactic,0.4292299151420593,0.6200555245086228
1,1,KDE,GBDT,AUG,acetic,0.5879523754119873,0.43384544696570776
1,1,KDE,GBDT,AUG,barnyard,-0.0029822587966918945,0.3985038963795076
1,1,KDE,GBDT,AUG,alcohol,0.5443639755249023,0.46864079156919136
1,1,KDE,GBDT,AUG,aftertaste,0.4666141867637634,0.4787616330917174
1,1,KDE,GBDT,AUG,body,0.3966500163078308,0.4823169671405797
1,1,KDE,GBDT,AUG,co2,0.27151674032211304,0.5322944247876679
1,1,KDE,GBDT,AUG,overall,-0.035773634910583496,0.5790124731383903
1,1,KDE,MLP,TSTR,A_malt_all,-0.2575953006744385,0.9888866816691317
1,1,KDE,MLP,TSTR,A_malt_grain,-0.13671386241912842,0.5875094372417468
1,1,KDE,MLP,TSTR,A_malt_bread,-0.13074040412902832,0.5032329348775305
1,1,KDE,MLP,TSTR,A_malt_cara,-0.063376784324646,0.7197664785509463
1,1,KDE,MLP,TSTR,A_malt_burn,-0.06228065490722656,0.9557020025871158
1,1,KDE,MLP,TSTR,A_hops_all,-0.09822309017181396,0.615572107047017
1,1,KDE,MLP,TSTR,A_hops_citrus,-0.05467832088470459,0.5554398283692328
1,1,KDE,MLP,TSTR,A_hops_tropical,-0.06927037239074707,0.3990203110417891
1,1,KDE,MLP,TSTR,A_hops_noble,-0.14968430995941162,0.5566483346505569
