Feature,Skewness,Kurtosis,Shapiro_P,Is_Normal
X.E..dihydro.apofarnesal,-0.34009953993913805,-1.7961805072088102,6.307303319695338e-20,False
Z.nerolidol,6.503123824558944,43.43555837652781,1.9162077014502147e-31,False
X.E..ortho.methoxy.cinnamaldehyde,-0.9217171356552838,-1.029921200902384,5.350179954845885e-21,False
alpha.calacorene,-5.8192100441115695,50.482562213260195,3.800411328191196e-24,False
E.nerolidol,-4.6753189157724595,22.182014408397684,1.0732429777670979e-27,False
dihydroisocaryophyllene.epoxide,-4.850269083651188,26.141250752048595,2.0456242619918848e-26,False
caryophyllene.alcohol,-5.760119781052475,38.69136462285927,8.076486129419914e-27,False
neryl.isovalerate,-3.0075412027998776,8.254479996041045,2.166815643044542e-25,False
spathulenol,-0.8119980764170052,-1.2581235195772245,4.043757595811357e-21,False
caryophyllene.oxide,-1.2655009456303714,-0.14440346252574487,4.2271004123866115e-21,False
humulene.epoxide.II,-2.687380685693813,6.569299114328151,1.6939401536608032e-23,False
alloaromadendrene.epoxide,-2.8218093163883555,7.098414614774072,1.8702621870615185e-24,False
X1.10.di.epi.cubenol,-3.136463634178744,10.530360775248917,3.6984690718603837e-23,False
isopropyl.laurate,-5.023017269544297,41.735483256350726,9.556972302815015e-23,False
caryophylla.4.12..8.13..dien.5.alpha.ol,-1.0504631786165024,-0.7189402921369541,7.721401414258802e-21,False
gamma.eudesmol,0.3434662255702069,-1.5402541101273717,4.9478871244987305e-18,False
alpha.muurolol,-1.6715144856315822,0.9345083172892275,5.091726981228634e-24,False
X1.2.dihydro.8.hydroxy..2E..linalool,-0.8864518849213051,-1.143103320148612,1.3688381892340798e-21,False
tau.cadinol,-2.078411383241906,4.0162402930768,4.220207976551757e-20,False
selin.11.en.4.alpha.ol,0.026995417937634072,-1.9399631950905931,2.847603965252003e-20,False
alpha.eudesmol,-0.5037376495820624,-1.540564678483204,1.4721720964778859e-18,False
X14.hydroxy.9.epi..E..caryophyllene,-2.3452430704296727,4.034655552760428,2.0926894960421825e-24,False
tau.muurolol,-1.3257047811264242,-0.1442754727750306,4.9892736550955385e-23,False
n.tetradecanol,-1.8198606683234777,1.6205060893145355,2.4322681580331926e-23,False
foeniculin,0.4982397568917207,-1.692633665493559,1.5101539135468184e-21,False
cadalene,-4.8197947870967,26.170284646693382,2.705472766430679e-26,False
X2.3.dihydro.farnesol,-3.325315356648155,10.794337381071022,4.1108128535766582e-25,False
X2E.6Z.farnesal,-0.6575917383697873,-1.4368332761657372,5.991284917290229e-20,False
caryophyllene.acetate,-0.19545959806206156,-1.9077764270855844,2.3645548684861948e-20,False
X14.hydroxy.alpha.humulene,-0.7596100457799972,-1.3797072082458497,1.0449837507203118e-21,False
X2Z.6E.farnesal,-0.40210402876231033,-1.7940633619517896,9.984884133439103e-21,False
X2Z.6Z.farnesol,-0.5838014644030399,-1.6172812364093634,3.6289093140073675e-21,False
X2Z.6E.farnesol,-1.729708833639135,1.4666096194204443,6.302893561199628e-22,False
ambroxide,-3.2154891940825507,9.352170897183067,3.8646688486567997e-26,False
benzyl.benzoate,-3.3729363210986083,10.703209666319841,6.677095763504524e-26,False
X2E.6E.methyl.farnesoate,-0.7270810507992178,-1.3834100193249674,9.636838746595254e-21,False
ethyl.tetradecanoate,-3.1588070125641834,9.304065932311048,2.903186007209292e-25,False
X2.ethylhexylsalicylate,-0.657133909513405,-1.4013556938996703,2.276686034127633e-19,False
isopropyl.tetradecanoate,-2.369808159815733,4.1390035986008105,1.3365037614640929e-24,False
ethyl.pentadecanoate,-1.6723034877358784,1.2080873670009153,4.764289383615121e-22,False
methyl.hexadecanoate,-2.4454136464814287,4.646517542331427,2.630832309039654e-24,False
Z.Z.geranyl.linalool,-2.0174844455804286,2.6538432417472966,9.017625758233056e-23,False
ethyl.hexadecanoate,-1.3462507436907254,-0.12183299290547867,1.363214635352748e-23,False
manool.oxide,-3.338458087738218,14.373972723796715,1.1448365444490848e-21,False
X13.epi.manool.oxide,-1.6703827226640264,1.13528040685036,1.5905138184844898e-22,False
isopropyl.hexadecanoate,0.29625575306364615,-1.9003358933127148,1.0625556915944878e-21,False
manool,-3.882235219281849,14.779250244463562,1.1752684015600536e-26,False
ethyl.octadecanoate,-2.487881312691041,5.12527250552448,1.02392678692942e-23,False
ethyl.pentanoate,9.236253906741302,86.9909694464912,5.015139873362049e-32,False
X2.ethyl.3.methylpyrazine,6.039655508573458,38.40752074328526,1.9152119884113193e-30,False
esters_sum,-1.4329353326387022,3.9383199179867225,2.7241592858785903e-11,False
aroma_hops_sum,0.6283848491026975,0.17104840758301743,1.0735741356105436e-05,False
acids_sum,0.6817503286224655,1.3846041410993348,1.1020037045799895e-09,False
sulfur_sum,-0.5279106897725085,1.6255889858161683,7.10727288807617e-05,False
