feature,ks_stat,p_value
beta.cyclohomocitral,0.1825,0.00025751020160872854
E.cinnamaldehyde,0.095,0.17647045720826873
n.decanol,0.2,4.2197706776709616e-05
neryl.formate,0.105,0.10326023610216986
X4.ethyl.guaiacol,0.06,0.7161848267754904
X2.undecanone,0.125,0.030049214777110294
trans.dihydro.alpha.terpinyl.acetate,0.05,0.8878743387468179
terpinen.4.ol.acetate,0.0575,0.7634242438698546
X2.undecanol,0.0825,0.31887048886973485
delta.terpinyl.acetate,0.0975,0.15513592446070518
X.E.E..2.4.decadienal,0.4225,8.658641148527635e-22
methyl.geranate,0.085,0.2853320095955398
car.3.en.2.one,0.1025,0.11866876494363714
dimethoxy..E..citral,0.1325,0.017888195483849026
X2.butyloctanoate,0.0775,0.393718201317559
X4.methoxysalicylaldehyde,0.085,0.2853320095955398
ethyl.hydrocinnamate,0.105,0.10326023610216986
eugenol,0.4375,2.1725787602820942e-23
gamma.nonalactone,0.47,4.418291595499353e-27
methyl.para.anisate,0.055,0.8084857415008071
X.E..beta.damascenone,0.51,4.6290512300500326e-32
ethyl..9..decenoate,0.145,0.007041594267935141
vanillin,0.0725,0.47833041734593434
geosmin,0.54,3.981156939946004e-36
dodecanal,0.075,0.4348842202177677
X4.8.alpha.epoxy.caryophyllane,0.1075,0.08954849691133762
E.caryophyllene,0.4725,2.230110088045613e-27
X.E..alpha.ionone,0.12,0.041750698523622023
perillyl.acetate,0.1125,0.06666569367551337
beta.humulene,0.3875,2.6636631601762704e-18
X2.phenyl.ethyl.butyrate,0.11,0.07739524550093227
X.Z..beta.farnesene,0.075,0.4348842202177677
pentyl.octanoate,0.1125,0.06666569367551337
X.E..beta.farnesene,0.115,0.05722994272855717
X2.methylbutyl.octanoate,0.07,0.5237842108066766
alpha.humulene,0.4625,3.348313960584187e-26
neryl.propanoate,0.135,0.014946353345597222
X9.epi..E..caryophyllene,0.1375,0.012446037426761309
ethyl..E..cinnamate,0.08,0.3550125902842471
linalool.isovalerate,0.195,7.198340666318494e-05
alpha.terpinyl.isobutanoate,0.0825,0.31887048886973485
n.dodecanol,0.2075,1.8452859828819583e-05
germacrene.D,0.125,0.030049214777110294
X.E..beta.ionone,0.1075,0.08954849691133762
valencene,0.3175,2.5442800223801305e-12
neryl.isobutanoate,0.075,0.4348842202177677
E.methyl.isoeugenol,0.1875,0.00015626795445660205
X.Z..dihydro.apofarnesal,0.1075,0.08954849691133762
butylated.hydroxytoluene,0.1975,5.520946369863485e-05
X.E..dihydro.apofarnesal,0.21,1.3909111049918432e-05
Z.nerolidol,0.4425,6.1535403542660076e-24
X.E..ortho.methoxy.cinnamaldehyde,0.15,0.004735656533395855
alpha.calacorene,0.13,0.02133663714307325
E.nerolidol,0.125,0.030049214777110294
dihydroisocaryophyllene.epoxide,0.0925,0.20004736274388757
caryophyllene.alcohol,0.14,0.010328876010191355
neryl.isovalerate,0.095,0.17647045720826873
spathulenol,0.1325,0.017888195483849026
caryophyllene.oxide,0.1,0.13591413534720856
humulene.epoxide.II,0.0775,0.393718201317559
alloaromadendrene.epoxide,0.085,0.2853320095955398
X1.10.di.epi.cubenol,0.0975,0.15513592446070518
isopropyl.laurate,0.125,0.030049214777110294
caryophylla.4.12..8.13..dien.5.alpha.ol,0.105,0.10326023610216986
gamma.eudesmol,0.27,5.47530122256195e-09
alpha.muurolol,0.0925,0.20004736274388757
X1.2.dihydro.8.hydroxy..2E..linalool,0.155,0.0031417486775911162
tau.cadinol,0.0575,0.7634242438698546
selin.11.en.4.alpha.ol,0.2525,6.65506930385444e-08
alpha.eudesmol,0.1975,5.520946369863485e-05
X14.hydroxy.9.epi..E..caryophyllene,0.0725,0.47833041734593434
tau.muurolol,0.115,0.05722994272855717
n.tetradecanol,0.1,0.13591413534720856
