Chemical_Feature,Impact_+15%,Impact_-15%,Sensitivity,Rank
X1.2.dihydro.8.hydroxy..2E..linalool,-0.0002494715717072406,0.0002961412642020105,0.0005456128359092511,179
cis.beta.terpineol,-0.0001513228938652508,0.00036679902256175033,0.0005181219164270011,180
n.nonanal,0.00020320781822749645,0.0003103606567740101,0.0005135684750015065,181
benzyl.alcohol,-0.0002548785467619917,0.0002571479057247545,0.0005120264524867463,182
X1.alpha.terpineol,0.0003917226639803041,-0.00011213128503645791,0.0005038539490167621,183
ethyl.butyrate,0.00022050459315950565,-0.0002760786107199945,0.0004965832038795002,184
ethyl.isobutyrate,-0.0002383875002514931,0.00025046215006150707,0.0004888496503130001,185
neryl.formate,0.0002075847494315052,-0.0002677547171189944,0.0004753394665504996,186
ethyl.lactate,7.530423973009835e-06,0.00045147541682350714,0.000459005840796517,187
ammonia.mg.L.,0.00026211445057360396,-0.00019161246315012244,0.0004537269137237264,188
X2.undecanone,0.00043543518672950634,1.5946675100629167e-05,0.0004513818618301355,189
amyl.acetate,0.0002483091223240039,-0.00020243707856399746,0.00045074620088800135,190
X.E..beta.damascenone,-0.0001740795610579989,0.00027434692875962695,0.00044842648981762584,191
esters_sum,0.00020455149120850445,0.00023492229658749787,0.00043947378779600233,192
n.decanol,-0.00039291861265549564,-4.404015933275534e-05,0.000436958771988251,193
SO2.mg.L.,-0.0001960334620409967,-0.00023790579378849368,0.00043393925582949034,194
n.tetradecanol,0.0001366009815730009,0.00028735963034800957,0.00042396061192101047,195
X2.methylbutyl.octanoate,0.00027018514664950503,-0.0001024233330489906,0.00037260847969849563,196
isopropyl.hexadecanoate,0.0003538180711805037,4.891824144006946e-06,0.0003587098953245106,197
neo.allo.ocimene,0.0001265046911316761,0.00023160623222809532,0.0003581109233597714,198
ethyl.hydrocinnamate,-0.00011275956587366394,0.00023709990987408122,0.0003498594757477451,199
ethyl_hexanoate,0.00013583320183717444,-0.00021330427109274237,0.0003491374729299168,200
ethyl.nicotinate,0.00014222762948900468,-0.0001861926776344851,0.0003284203071234898,201
glycerol,-0.00026248895424349885,-4.445929210399841e-05,0.00030694824634749723,202
neryl.isobutanoate,-0.00011386749849499642,0.00018640136976601446,0.00030026886826101085,203
X.E..beta.farnesene,-0.0002395139813927499,5.1361358187429795e-05,0.0002908753395801797,204
X2.3.butanedione,-0.00016346776703799054,0.00011646464888800568,0.0002799324159259962,205
X.E..2.nonenal,7.459977332951354e-05,-0.00017364281130299403,0.0002482425846325076,206
E.caryophyllene,-0.0001282814849785016,0.00011138585022801323,0.00023966733520651483,207
pentyl.octanoate,0.00010583763793300001,-0.00011591121293773883,0.00022174885087073885,208
DES,-6.58227159272449e-05,0.00011482175225600497,0.00018064446818324986,209
X3.methylbutanal,-0.00011833340201149088,4.947399616800167e-05,0.00016780739817949254,210
beta.humulene,0.0001544085021580087,-1.0480571647547174e-05,0.00016488907380555586,211
methyl.geranate,-0.00013819007593174681,2.2684405095427155e-05,0.00016087448102717396,212
acetic_acid.g.L.,6.463230973518554e-05,-9.609265394486485e-05,0.0001607249636800504,213
X2.methyltetrahydrofuran.3.one,-0.0001465027106344922,9.434219256497044e-06,0.00015593692989098926,214
acids_sum,9.7034279946508e-05,5.639254357026089e-05,0.0001534268235167689,215
cis.dihydro.beta.terpineol,3.7781527984499325e-05,-0.00011538632271100355,0.00015316785069550287,216
Z.nerolidol,7.078294783500455e-05,-8.234864877098574e-05,0.00015313159660599029,217
X6.methyl.5.hepten.2.one,-8.215500833502268e-06,-0.00013806651780349374,0.00014628201863699602,218
valencene,3.276459100968005e-05,0.00011241886326749536,0.0001451834542771754,219
limonene,-1.4699782449998366e-05,0.00012302183002050023,0.0001377216124704986,220
citronellol,0.0001036330950240047,2.904795213499469e-05,0.0001326810471589994,221
foeniculin,-8.677414365448756e-05,4.585219004725469e-05,0.00013262633370174224,222
X.E..beta.ocimene,8.276625261550249e-05,4.889778484284124e-05,0.00013166403745834372,223
alpha.phellandrene,2.6235776501003998e-05,0.00010173327070274994,0.00012796904720375395,224
ethyl_isovalerate,9.535412156250363e-05,-2.4833660348989897e-05,0.00012018778191149353,225
isopentyl_acetate,-5.2741788255494754e-05,-5.4655186581293836e-05,0.00010739697483678859,226
styrene,-3.528438402098568e-05,6.656494154999815e-05,0.00010184932557098382,227
meta.cymenene,5.5312219655011995e-05,2.2053685446003858e-05,7.736590510101585e-05,228
gamma.nonalactone,-3.6770008576491366e-05,2.641015934925656e-05,6.318016792574793e-05,229
X.E.E..2.4.decadienal,-3.535674582798892e-05,-2.7344290078166468e-05,6.270103590615539e-05,230
CS2,-2.8543125503993097e-05,-2.140895258449612e-05,4.995207808848922e-05,231
